779513`KJF`2024-04-16 00:00:00.000`0.0`4.5300000000000002`2`0`
779513`KJF`2024-04-15 00:00:00.000`0.0`1.53`0`0`
779512`ZN`2024-04-12 00:00:00.000`0.0`5.5300000000000002`0`0`
779512`ZN`2024-04-15 00:00:00.000`0.0`2.6000000000000001`2`1`
779511`JRL`2024-04-09 00:00:00.000`0.0`0.25`3`0`
779506`CA`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779506`CA`2024-04-16 00:00:00.000`0.0`8.5700000000000003`0`0`
779505`DT`2024-04-12 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779504`EU`2024-04-11 00:00:00.000`0.0`1.0`1`0`
779503`NR`2024-04-10 00:00:00.000`0.0`1.1699999999999999`1`0`
779502`ITA`2024-04-08 00:00:00.000`0.0`0.69999999999999996`0`1`
779502`ITA`2024-04-09 00:00:00.000`0.0`2.2000000000000002`1`0`
779501`JRL`2024-04-08 00:00:00.000`0.0`5.0000000000000003E-2`1`0`
779501`JRL`2024-04-08 00:00:00.000`0.0`5.0000000000000003E-2`1`0`
779487`NR`2024-04-16 00:00:00.000`0.0`1.8`1`0`
779486`MGK`2024-04-15 00:00:00.000`0.0`0.82999999999999996`1`0`
779485`AB`2024-04-15 00:00:00.000`0.0`4.1799999999999997`1`0`
779484`JRL`2024-04-09 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779483`TM`2024-04-05 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779471`ITA`2024-04-16 00:00:00.000`0.0`1.2`0`0`
779471`ITA`2024-04-17 00:00:00.000`0.0`1.3`1`0`
779470`JRL`2024-04-11 00:00:00.000`0.0`0.25`1`0`
779469`TM`2024-04-05 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779457`EU`2024-04-16 00:00:00.000`0.0`2.75`1`0`
779456`CHK`2024-04-11 00:00:00.000`0.0`5.0`1`0`
779455`AMH`2024-04-11 00:00:00.000`0.0`0.29999999999999999`1`0`
